net_small_000.edgelist Time Taken: 7e-06
net_small_001.edgelist Time Taken: 1.3e-05
net_small_002.edgelist Time Taken: 1.3e-05
net_small_003.edgelist Time Taken: 9e-06
net_small_004.edgelist Time Taken: 7e-06
net_small_005.edgelist Time Taken: 5e-06
net_small_006.edgelist Time Taken: 8e-06
net_small_007.edgelist Time Taken: 7e-06
net_small_008.edgelist Time Taken: 7e-06
net_small_009.edgelist Time Taken: 1.1e-05
net_small_010.edgelist Time Taken: 1.1e-05
net_small_011.edgelist Time Taken: 5e-06
net_small_012.edgelist Time Taken: 1.2e-05
net_small_013.edgelist Time Taken: 1.3e-05
net_small_014.edgelist Time Taken: 1.2e-05
net_small_015.edgelist Time Taken: 1.1e-05
net_small_016.edgelist Time Taken: 6e-06
net_small_017.edgelist Time Taken: 6e-06
net_small_018.edgelist Time Taken: 8e-06
net_small_019.edgelist Time Taken: 7e-06
net_small_020.edgelist Time Taken: 8e-06
net_small_021.edgelist Time Taken: 6e-06
net_small_022.edgelist Time Taken: 5e-06
net_small_023.edgelist Time Taken: 4e-06
net_small_024.edgelist Time Taken: 6e-06
net_small_025.edgelist Time Taken: 1.1e-05
net_small_026.edgelist Time Taken: 1.1e-05
net_small_027.edgelist Time Taken: 5e-06
net_small_028.edgelist Time Taken: 1e-05
net_small_029.edgelist Time Taken: 3.8e-05
