net_large_000.edgelist Time Taken: 0.100394
net_large_001.edgelist Time Taken: 1.97969
net_large_002.edgelist Time Taken: 0.141765
net_large_003.edgelist Time Taken: 0.044841
net_large_004.edgelist Time Taken: 0.268596
net_large_005.edgelist Time Taken: 15.7913
net_large_006.edgelist Time Taken: 0.015196
net_large_007.edgelist Time Taken: 0.108884
net_large_008.edgelist Time Taken: 0.083975
net_large_009.edgelist Time Taken: 0.079502
net_large_010.edgelist Time Taken: 0.110005
net_large_011.edgelist Time Taken: 0.046272
net_large_012.edgelist Time Taken: 0.575248
net_large_013.edgelist Time Taken: 0.058662
net_large_014.edgelist Time Taken: 0.061135
net_large_015.edgelist Time Taken: 0.093707
net_large_016.edgelist Time Taken: 1.17171
net_large_017.edgelist Time Taken: 27.3385
net_large_018.edgelist Time Taken: 0.522896
net_large_019.edgelist Time Taken: 0.09808
net_large_020.edgelist Time Taken: 0.26924
net_large_021.edgelist Time Taken: 2.87194
net_large_022.edgelist Time Taken: 0.07749
net_large_023.edgelist Time Taken: 0.095235
net_large_024.edgelist Time Taken: 0.66692
net_large_025.edgelist Time Taken: 0.533423
net_large_026.edgelist Time Taken: 4.19116
net_large_027.edgelist Time Taken: 4.12661
net_large_028.edgelist Time Taken: 0.123099
net_large_029.edgelist Time Taken: 0.084618
