#Tamanho(Mb)	COM	SEM
0.114	0.014952	0.006359
0.303	0.047196	0.04354
0.4	0.037028	0.041706
0.407	0.045201	0.027347
0.43	0.048298	0.119092
0.453	0.030646	0.083426
0.533	0.082423	0.071052
0.582	0.0544	0.041226
0.694	0.087934	0.196417
0.702	0.077965	0.070572
0.749	0.068796	0.39911
0.846	0.107082	0.068249
0.846	0.071111	0.100699
0.963	0.107576	0.059462
1	0.06686	0.064233
1	0.080133	0.077533
1.04	0.087456	0.159177
1.215	0.25647	0.269085
1.7	0.31069	0.307242
2.4337	0.380959	0.41328
2.707	0.694802	1.62847
2.886	0.539774	0.523501
3.327	0.61761	0.636418
7.5	1.57874	3.16424
10.267	1.31085	2.38818
10.617	3.88663	9.31381
12.369	2.61178	7.74227
13.239	3.9694	9.81412
33.9	15.7913	28.2397
49.5	25.2946	54.9406
